1mb.mp4 2mb.mp4 5mb.mp4 10mb.mp4 1m.txt 3m.txt 5m.txt 10m.txt 1m.png 3mb.png 5mb.png 10mb.png
0.316144 0.622659 1.32797 2.24895 0.302826 0.803707 1.31269 2.24861 0.32918 0.808075 1.373 2.32736
0.306817 0.564843 1.44985 2.48999 0.338013 0.777818 1.26304 2.4076 0.302525 0.758817 1.28012 2.35092
0.323041 0.594958 1.30416 2.28109 0.330876 0.839813 1.19415 2.38415 0.341023 0.768867 1.22857 2.34431
0.355191 0.616582 1.28967 2.23295 0.325067 0.899724 1.32492 2.5411 0.345476 0.78583 1.29869 2.29576
0.325641 0.608595 1.30571 2.37833 0.355732 0.744171 1.37843 2.49247 0.325298 0.841513 1.22311 2.44444
0.331165 0.569656 1.29296 2.36506 0.338648 0.833263 1.21429 2.39618 0.325978 0.783773 1.39615 2.39316
0.319636 0.633305 1.38762 2.31227 0.351783 0.785133 1.23616 2.3163 0.338559 0.826271 1.23908 2.26737
0.332526 0.610491 1.21041 2.27719 0.348149 0.760105 1.12538 2.35895 0.3139 0.809841 1.29348 2.35542
0.350061 0.628373 1.1656 2.40677 0.341539 0.828028 1.35662 2.41898 0.300915 0.799361 1.31117 2.28013
0.365421 0.610577 1.25994 2.39643 0.331796 0.707076 1.32376 2.35357 0.311277 0.776859 1.31446 2.22643
0.310117 0.668548 1.17516 2.44097 0.300738 0.852042 1.27489 2.23428 0.310696 0.770732 1.26748 2.27745
0.355555 0.656533 1.21391 2.33076 0.312061 0.811076 1.16509 2.41267 0.344736 0.85922 1.23348 2.35869
0.326685 0.6356 1.35471 2.38349 0.322718 0.759626 1.20659 2.43917 0.34955 0.845228 1.23369 2.53134
0.331356 0.681268 1.22509 2.34271 0.331307 0.798564 1.35168 2.39867 0.331596 0.859091 1.23103 2.26829
0.318061 0.670438 1.13295 2.33877 0.370482 0.672188 1.34223 2.37393 0.33867 0.827255 1.1492 2.37007
           
median median median median median median median median median median median median
0.326685 0.622659 1.28967 2.34271 0.331796 0.798564 1.27489 2.39618 0.32918 0.808075 1.26748 2.34431
           
           
max_total: 2.5411          
