1mb.mp4 2mb.mp4 5mb.mp4 10mb.mp4 1m.txt 3m.txt 5m.txt 10m.txt 1m.png 3mb.png 5mb.png 10mb.png
0.415859 0.587426 1.29475 2.29156 0.331956 0.878515 1.27785 2.57292 0.332303 0.870124 1.35579 2.3989
0.347523 0.64566 1.26879 2.43293 0.309206 0.932854 1.133 2.52571 0.372709 0.888546 1.23212 2.35176
0.328321 0.548109 1.27921 2.35901 0.327453 0.899251 1.16252 2.42993 0.332731 0.885968 1.3621 2.43451
0.385234 0.548297 1.29748 2.34861 0.325669 0.828415 1.20622 2.51659 0.314515 0.850937 1.28734 2.47772
0.304596 0.653467 1.27004 2.49567 0.287252 0.832593 1.29677 2.43266 0.309116 0.797374 1.31337 2.41168
0.316014 0.578755 1.36004 2.44225 0.283324 0.782791 1.24979 2.34924 0.307255 0.777424 1.29524 2.3058
0.302074 0.551854 1.25301 2.38446 0.351565 0.843509 1.15026 2.43599 0.29794 0.763558 1.25116 2.40359
0.339269 0.609993 1.27531 2.31779 0.312773 0.665201 1.32437 2.40957 0.315827 0.827266 1.25411 2.38241
0.327604 0.602217 1.27552 2.46287 0.31575 0.887376 1.23651 2.45712 0.331892 0.779488 1.28032 2.42549
0.301707 0.597786 1.28099 2.31871 0.349709 0.843423 1.17731 2.29737 0.329373 0.819667 1.27357 2.38481
0.350072 0.582287 1.34165 2.52921 0.346708 0.75274 1.33199 2.54608 0.315881 0.779771 1.29686 2.50691
0.352367 0.59212 1.31596 2.3496 0.331663 0.695242 1.33738 2.40998 0.309399 0.755786 1.33755 2.32653
0.397879 0.609747 1.35402 2.37012 0.371113 0.785201 1.24287 2.50076 0.314758 0.79008 1.31891 2.4769
0.386531 0.564302 1.32605 2.3766 0.369572 0.789015 1.26032 2.42113 0.337976 0.783361 1.23539 2.392
0.405702 0.561827 1.24186 2.50282 0.34954 0.751665 1.3296 2.44255 0.351992 0.819037 1.26947 2.19233
           
median           
0.347523 0.587426 1.28099 2.3766 0.331663 0.828415 1.24979 2.43599 0.315881 0.797374 1.28734 2.3989
           
           
max_total: 2.57292          
