1mb.mp4 2mb.mp4 5mb.mp4 10mb.mp4 1m.txt 3m.txt 5m.txt 10m.txt 1m.png 3mb.png 5mb.png 10mb.png
0.345043 0.606801 1.4074 2.37455 0.328626 0.786327 1.27128 2.38263 0.305541 0.791843 1.33817 2.42393
0.316355 0.558404 1.34069 2.33518 0.336482 0.847827 1.29582 2.35194 0.31719 0.79049 1.24095 2.36489
0.301256 0.676994 1.27396 2.28112 0.333544 0.808032 1.23502 2.34311 0.314321 0.839439 1.27535 2.2638
0.343742 0.552383 1.39759 2.34181 0.330904 0.860956 1.16781 2.40033 0.285461 0.855147 1.32649 2.41421
0.334452 0.572915 1.32694 2.35732 0.310302 0.792127 1.29657 2.35634 0.278285 0.852155 1.21944 2.30399
0.308963 0.516823 1.31477 2.34964 0.322109 0.814942 1.21113 2.38228 0.388491 0.815035 1.28695 2.35712
0.335287 0.602902 1.39609 2.42374 0.353233 0.727656 1.22947 2.4822 0.358629 0.744215 1.2174 2.35811
0.335511 0.629591 1.23934 2.46288 0.302816 0.767301 1.28146 2.3797 0.342378 0.832355 1.2109 2.29401
0.343557 0.578423 1.32918 2.36034 0.312865 0.785558 1.19282 2.33101 0.34504 0.808847 1.42132 2.4793
0.299574 0.609053 1.34356 2.43787 0.318833 0.840157 1.19628 2.34696 0.315716 0.83129 1.39337 2.37093
0.332262 0.606295 1.20012 2.46239 0.319241 0.764565 1.26168 2.34762 0.321127 0.751623 1.31729 2.38806
0.314737 0.594939 1.35115 2.486 0.370833 0.838802 1.16963 2.36691 0.305154 0.774893 1.31338 2.27114
0.295954 0.5549 1.24064 2.4811 0.303035 0.838532 1.12882 2.41646 0.322876 0.775396 1.21695 2.32867
0.318461 0.527251 1.27475 2.29095 0.356006 0.871499 1.26072 2.38723 0.304911 0.780643 1.1947 2.41686
0.391592 0.612867 1.21994 2.39341 0.347135 0.73711 1.29727 2.41666 0.297604 0.916724 1.21299 2.47937
           
median           
0.332262 0.594939 1.32694 2.37455 0.328626 0.808032 1.23502 2.3797 0.315716 0.808847 1.27535 2.36489
           
           
max_total: 2.486          
